model,params,f1_disaster,pr_auc,roc_auc,precision,recall,accuracy,f1_macro
LogReg_char,{'clf__C': 0.5},0.7631,0.8591,0.8642,0.7752,0.7512,0.7995,0.7946
LogReg,"{'clf__C': 5.0, 'tfidf__max_df': 0.9}",0.7541,0.8501,0.8584,0.7681,0.7405,0.7924,0.7873
LinearSVC,"{'clf__estimator__C': 0.5, 'tfidf__max_df': 0.9}",0.7516,0.8433,0.8563,0.7899,0.7169,0.7964,0.7895
ComplementNB,"{'clf__alpha': 0.5, 'tfidf__max_df': 0.9}",0.7436,0.852,0.8518,0.8125,0.6855,0.7969,0.7877
Dummy,{},0.0,0.4297,0.5,0.0,0.0,0.5703,0.3632
